Province/State,Country/Region,Lat,Long,ISO 3166-1 Alpha 3-Codes,Sub-region Name,Intermediate Region Code,Date,Deaths,Cases,Recovered,Hospitalised
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,24/04/2020,1,11,4,1109
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,21/11/2020,6,746,700,1109
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,02/04/2020,0,0,0,1110
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,18/02/2021,12,699,679,1111
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,28/04/2020,36,530,352,1111
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,05/04/2021,94,4275,4171,407
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,22/04/2020,5,99,39,1112
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,26/10/2020,1,71,70,1112
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,12/11/2020,48,1003,766,1112
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,16/02/2021,118195,4058468,0,1112
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,07/04/2020,7545,71517,135,1113
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,25/02/2021,2,438,405,1114
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,25/11/2020,6,746,700,1114
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,Northern Europe,0,12/02/2021,0,4,4,1116
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,06/12/2020,48,1645,1088,1117
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,06/11/2020,0,13,13,1117
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,06/03/2021,1,20,14,1117
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,20/11/2020,6,726,698,1117
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,02/12/2020,48,1397,1012,1118
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,28/11/2020,48,1218,975,1119
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,16/12/2020,9,467,250,1120
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,16/04/2020,16029,111756,0,1121
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,17/05/2020,1,8,6,1122
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,10/11/2020,1,253,236,1122
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,22/11/2020,6,746,700,1122
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,15/05/2020,0,3,3,1123
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,18/05/2020,1,8,6,1125
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,25/10/2020,1,13,12,1125
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,16/11/2020,6,720,695,1125
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,16/05/2020,1,8,6,1126
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,26/02/2021,0,54,46,1126
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,06/04/2021,94,4275,4171,393
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,23/02/2021,85,4030,3879,1128
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,04/05/2020,0,13,13,1128
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,05/04/2020,0,37,14,1131
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,15/04/2020,14993,106458,0,1132
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,24/11/2020,6,746,700,1133
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,05/03/2021,1,153,131,1134
